file_gopro;raw_arcgis;ransac_arcgis;H_arcgis;F_arcgis;time_arcgis;ransac_rot_arcgis;H_rot_arcgis;F_rot_arcgis;time_rot_arcgis;raw_google;ransac_google;H_google;F_google;time_google;ransac_rot_google;H_rot_google;F_rot_google;time_rot_google;raw_geoportal;ransac_geoportal;H_geoportal;F_geoportal;time_geoportal;ransac_rot_geoportal;H_rot_geoportal;F_rot_geoportal;time_rot_geoportal
10001.jpg;345;35;[[0.7658609334070081, 0.44833216683015287, -46.30601474254257], [-0.5075833975410318, 0.6807689909206328, 421.53029947747143], [2.5523116205694216e-05, -7.789322007864813e-05, 1.0]];[[2.425730377440689e-07, 2.8645780527037087e-07, -0.0015832430682753019], [-4.1144991450516034e-07, 1.8765116148036071e-07, -0.0007146163073166947], [0.0017615421377042586, -0.00023283334204508916, 0.17924568644947514]];1871;9;[[0.9396541747135669, -0.13077237221136206, 241.83867849592062], [-0.09752703460389706, 0.7773574659441095, -78.07101655121566], [6.537055737189821e-05, -0.00019263786722805906, 1.0]];[[-7.592461579983878e-08, -2.384707971850942e-07, 0.0010770236612596886], [5.116256432397491e-07, -4.4556532030388006e-07, -0.0016012899651201267], [-0.001024981542459683, 0.0019196420912774793, 0.3777787958332446]];234;359;39;[[0.7602572547993758, 0.42805040298031655, -41.18041986125896], [-0.5004296388636821, 0.6722600752703505, 413.87921809801634], [3.2483868042994134e-05, -9.640007408309926e-05, 1.0]];[[3.502062116551788e-07, 4.017710564197139e-07, -0.0018744030864212482], [-5.998032622806077e-07, 2.0164862703989695e-07, -0.0012811013138693688], [0.00240018811553765, 0.00020518968832389933, 0.01749309142525335]];222;23;[[0.8743246680568664, 0.02692950799970822, 213.32022964572465], [-0.08991185730859727, 0.8361532235873887, -91.84125014312423], [-4.3766292195989005e-06, -6.61882018473737e-05, 1.0]];[[8.540782275707051e-08, 6.909253302392672e-07, 0.0020345945872405767], [-5.273381751618483e-07, -3.0218761152462894e-08, -0.0006521561971395158], [-0.002168090035268241, 0.0010268997221646414, 0.5554939239151897]];229;320;32;[[0.7077692037775313, 0.39068801620646126, 4.914464197275611], [-0.47199103095504, 0.644771092116489, 395.00480628952954], [6.726075039882868e-06, -0.00011154345476535092, 1.0]];[[-9.722683922707601e-07, -1.5024032464339504e-06, -0.0007868624853843514], [1.1154284158694645e-06, -9.58611458904177e-07, -0.0015136194557690014], [0.0027622087891746878, 0.0012268578307398038, -0.5044874854982253]];221;15;[[0.8900603600970013, 0.010970672211547452, 205.93251557142605], [-0.09890495001594542, 0.8288576654942156, -87.72405001386514], [7.630480331948313e-06, -9.149182926252315e-05, 0.9999999999999999]];[[-2.2514570982341685e-07, -2.417210990884449e-06, -0.0007433615827212683], [2.0579100943028035e-06, -4.1191691478424396e-07, -0.003122838558993789], [0.0010047515158825941, 0.003380937576702022, 0.0537597807207848]];230
10067.jpg;270;10;[[1.2817274884507823, 0.3877658421753407, -55.57715086986542], [-0.11182106263643407, 0.2973295830072114, 215.43177224050763], [0.0005977633257481544, -0.0003590663240640107, 0.9999999999999999]];[[1.9141158034650997e-06, 1.0232189047714052e-05, -0.0020638519646499214], [-3.4691483219161684e-06, 5.46631389088864e-06, 0.0008362598166566332], [-0.0009547656268786735, -0.004860325643198181, 1.0]];233;25;[[0.4426941647926295, 0.2166430485039649, 628.5567313104386], [-0.07905887781777005, 0.5949248732284153, 51.74206167833745], [-0.0001935012305815721, 9.11194722648971e-05, 1.0]];[[1.319280437869548e-07, -3.574671971621375e-06, 0.0017679830674733389], [2.305019554408129e-06, -1.9707855168004575e-07, -0.004272431580768184], [-0.002183641057725346, 0.005582567044924911, 1.0]];238;255;5;;;234;14;[[1.5903462250269538, -0.23307639880681263, 194.48722590292476], [0.4229687155019112, 0.48828683013928553, -148.72156766739036], [0.00035448202235414033, -0.0002908365856285684, 1.0]];[[7.997791066159807e-07, -4.132742594673423e-06, 0.0011709841081122448], [2.0721663733231856e-06, -1.9407620468357004e-07, -0.003253250939674081], [-0.002409464746540292, 0.004879119956583668, 1.0]];225;310;9;[[0.6513387589750814, 0.4081588015543885, 209.69100389737014], [-0.46862235158671595, 0.7001237828073349, 435.26934633551], [-3.599254016433968e-05, -0.00010547765990715066, 1.0]];[[1.4757940207737115e-06, 2.334863760028674e-06, -0.0034287265941777834], [-2.45714691655898e-06, 1.7133735659212511e-06, 0.0011581925116079582], [0.0011958299885146757, -0.002758431483920703, 1.0]];243;8;[[-11.877058317637475, -0.22377704771141257, 6129.591517481588], [-5.7585686744498545, -2.6284073487001414, 5662.37010100982], [-0.005300259030295202, 0.00020977446797092048, 1.0]];[[7.033626965609353e-07, -1.322575439105959e-06, -0.00042027423398282833], [7.055610416686337e-07, -5.8407957924561574e-08, -0.0008826188420919629], [-0.0011241548821565197, 0.0012106777953772357, 1.0]];238
10072.jpg;343;17;[[0.7902735228434673, 0.38824654275201254, 39.4973483626274], [-0.4813488726145333, 0.6406545855778227, 355.7534858589883], [4.8749260523270095e-05, -0.00012445303886751772, 1.0]];[[5.025315532774013e-07, 6.55208028351243e-07, -0.0016802222906195676], [-7.870815953425126e-07, 3.3329439446259036e-07, -0.0010020879636580674], [0.0019307437053148306, 0.00015004630744791948, -0.12814176575098424]];225;35;[[0.8544738974319044, 0.029102457230352916, 304.3822999125989], [-0.09343072034020065, 0.7939506426245132, -135.86318385719525], [-1.2103925582543023e-05, -7.472229569641198e-05, 0.9999999999999999]];[[-1.0175415966362286e-06, -8.819574699072061e-06, -0.0008982765103931347], [7.78753055162886e-06, -1.3314469525875812e-06, -0.010961919050063211], [0.0013078119280412902, 0.010739206141789212, 1.0]];225;338;14;[[1.0012942708180108, 0.5041609176045713, -27.136085339427073], [-0.47954528101129623, 0.5941240234402673, 418.46660506149806], [0.00030105132442844986, -0.00012130712903877399, 1.0]];[[3.065491994096889e-06, 4.203638926322492e-06, -0.003558855794418158], [-3.183390664285955e-06, 2.7335880988785157e-06, 5.774497319949016e-05], [0.0004656192017986563, -0.0023676373376331408, 1.0]];225;43;[[0.9008836475211429, 0.032529900193963734, 290.8212332685513], [-0.08563100143412457, 0.8415652571292004, -158.2353640951827], [6.115557423753631e-06, -5.9373029158408526e-05, 1.0]];[[4.3570908376006434e-09, -5.6596507938780425e-08, -0.0023189255579734087], [-8.572269760719297e-08, -5.794901374418039e-09, -0.00015068603951743704], [0.0025706951733759655, 4.522862583989409e-05, -0.7383333034786539]];224;369;44;[[0.7774819907036573, 0.4583447415950678, 37.30317338387307], [-0.5036404289568519, 0.6857988824384774, 357.4066833871339], [3.906800040666867e-05, -7.953781230188138e-05, 1.0]];[[-5.618219070908578e-07, -6.397327894128255e-07, 0.0030544015919487075], [8.676529778096213e-07, -6.129144358346854e-07, -0.00038989127452389365], [-0.0021914669957839345, 0.002162525086449276, -0.6761207872798778]];247;11;[[1.0454526246191833, -0.057457266785498104, 40.537754119072375], [-0.12543512323573527, 0.8648131691696852, 102.29782984786458], [0.0001695630999784263, -8.912996172264006e-05, 1.0]];[[-2.7209453591118257e-06, -1.1440878604141375e-05, 0.012683619007086255], [1.0877711132867342e-05, 8.267119657133332e-07, -0.0003669373870659222], [-0.012165675499818515, -0.0014506368219042737, 1.0]];225
10142.jpg;400;8;[[0.5897755964664857, 0.289575672197621, -79.64321905323824], [-0.18505403873899318, 0.23610904216923886, 283.1208274515315], [-6.129894542138302e-06, -0.00027274954261642014, 1.0]];[[7.994063802599126e-07, 2.755572336270504e-06, -0.0011630992177669637], [-1.3261995726796724e-06, 2.3603651819626395e-06, 0.00042221092188612463], [-0.0002705453033106633, -0.003721071477955023, 1.0]];234;74;[[0.8595659555007419, 0.013824293364836643, 199.485798155317], [-0.0970249836274855, 0.8148557429350224, -80.97600975615345], [-1.5139710151924154e-05, -7.657644055860023e-05, 1.0]];[[-9.3214104217284e-07, -9.069931757152442e-06, 0.0028774987833276406], [8.71375188938918e-06, -8.162449286766085e-07, -0.004845349553446784], [-0.003559364744915012, 0.004134276954890027, 1.0]];232;467;43;[[0.7418262405115218, 0.4307469634554965, -62.11885398044339], [-0.5039383316886243, 0.6485728299713315, 440.0012234124252], [2.4932682706420813e-05, -0.00010796794956597542, 1.0]];[[-1.7606703402494943e-06, -2.6148127773699226e-06, -0.0002651182001204718], [2.208612401314325e-06, -1.6194686742257616e-06, -0.00100233087976947], [0.002520044923894209, 0.0011177546264563426, -0.33568163488133007]];224;17;[[0.8694004507655938, 0.2773428768934345, 150.6259091411256], [-0.16767825693563584, 0.7038810693045183, 11.953157226956703], [-3.218382204790619e-05, 0.00015527451775155257, 1.0]];[[2.294543403136871e-07, 1.4979973018427488e-06, -0.0014622313422867988], [-9.612827954820091e-07, -7.711627341442549e-08, 0.0020794405730181105], [0.0010223024689059073, -0.0031263326272749424, -0.1170289664999753]];231;412;37;[[0.7756572222961813, 0.4486617784664073, -82.81561050070825], [-0.5199022783130156, 0.6587289384476291, 450.11469727548814], [2.7830644648131947e-05, -9.013987456179385e-05, 1.0]];[[-3.6906799055026306e-06, -5.559773281968534e-06, 0.0015881999058024914], [4.519856612241915e-06, -3.6775425539178572e-06, -0.0020648481763682913], [0.0034382237907549244, 0.0039181599624318305, -1.493974424743088]];227;6;;;245
10189.jpg;438;38;[[0.7917558347464482, 0.5231696141755944, 103.79047352553388], [-0.5371089317856765, 0.6901533549693, 499.4133419578488], [2.4811235878387576e-05, -2.0413925311309907e-05, 1.0]];[[-2.9760442970231168e-08, -1.2326218160721315e-07, -0.00209955854158558], [6.672107694324145e-08, -6.373609818182275e-08, -0.0006805282346167639], [0.00227028298843028, -0.0007003542358882509, 0.10589828015049463]];224;32;[[0.8550991813397427, -0.002997172693811806, 407.49955991344905], [-0.10793863970237456, 0.7898981737243134, -30.726917154733954], [-1.6355146382285743e-05, -8.683889910916414e-05, 1.0]];[[1.6517450912709696e-07, 7.82739102775827e-07, 0.0020431064505924755], [-5.347644093681556e-07, -6.366252574316175e-08, -0.00047782481077470254], [-0.002344295717453578, 0.0009667378548916627, 1.0]];240;543;70;[[0.7738378101661937, 0.4678898982283461, 117.80870434096396], [-0.520278733314008, 0.6781643149770332, 482.57973379382605], [2.7943586524291222e-05, -7.079928986744275e-05, 1.0]];[[1.1894027256497922e-07, 2.544253087261702e-07, 0.0015025049527839967], [-8.939565808130457e-08, 1.2765504834567574e-07, 0.00061844761612249], [-0.0019058068142274874, 0.000328184154196999, 0.0674857417834065]];230;26;[[1.1061619354432384, 0.6647700575936154, 142.88218101036986], [-0.1275805661154526, 1.0489461323765268, -65.95737842947543], [-1.378577616808714e-06, 0.0003894113462053439, 0.9999999999999999]];[[1.1476255558018629e-07, -6.884694077741505e-07, 0.0023926032037514043], [2.2490769396035528e-07, -3.155418083828966e-08, -0.0002772131366018756], [-0.0028036155830850717, 0.001025122634765307, 1.0745521022643993]];230;389;29;[[0.8752258076156241, 0.6556118667428099, 15.279275987986717], [-0.5481745398477449, 0.6949899926321732, 533.4046929901144], [5.856035092820496e-05, 1.2377819888509319e-05, 1.0]];[[-3.954228941706586e-07, -5.86628135873009e-07, 0.00026911315900000004], [6.108047530973882e-07, -4.326787490455417e-07, -0.0024887413944343576], [0.0016351292495845927, 0.002324191344937387, -1.2701352046754464]];227;25;[[1.2501443604659743, 0.526014557417745, 82.18680780529137], [-0.18790127691488437, 0.8701036455535832, 113.38560503294752], [7.197231429930973e-05, 0.0002508485007716249, 1.0]];[[-4.358290695130264e-07, -1.6585566449776748e-06, 0.0032055591451016457], [8.492344236972945e-07, 1.4797943996963073e-07, -0.0022706432638604983], [-0.0018209910117604007, 0.0036546510737156352, -0.251656089478111]];229
10214.jpg;479;55;[[0.7744881295908729, 0.4684957389505454, -1.2796650420539402], [-0.5206673364991578, 0.6704447127413546, 397.79143202684037], [3.567530672426381e-05, -7.75403039277452e-05, 1.0]];[[-8.47489122951265e-07, -1.052639134394036e-06, 0.0026288585688157102], [1.1027202971881987e-06, -9.519919281843631e-07, -0.002788290826805688], [0.00020348847830964215, 0.004307275792978991, -1.7354226518577973]];223;148;[[0.8657916717886514, 0.0031872891740490554, 283.7988788888134], [-0.09737132909262394, 0.8053381095127253, -125.45693015504973], [-7.183023083144417e-06, -8.548039827076315e-05, 1.0]];[[1.2276119090141876e-07, 1.1257666310216451e-06, -0.0004367649167807308], [-1.012744135667617e-06, 4.224264358600273e-07, 0.0037530167194127335], [0.0001375171857333033, -0.004327509610451894, -0.5755038293419998]];238;441;38;[[0.740018617695677, 0.4283430719469437, 25.024596327053516], [-0.5140455470461756, 0.6539022761073611, 398.08374813265516], [1.8549915878713614e-05, -8.688426430756449e-05, 1.0]];[[1.0030199140424035e-07, 2.0909885242981973e-07, 0.001908866912446753], [3.152344367533443e-10, -8.726217540479819e-08, -0.0005079162298366049], [-0.0015486542723617872, 0.0017103822750475287, -0.6036458099185151]];225;48;[[0.9499134555438803, 0.2647414852176852, 173.118053475816], [-0.09535384712083515, 0.8504565700649498, -129.8444044388138], [-3.908612205562439e-06, 8.339245360560022e-05, 1.0]];[[1.651695917686473e-08, 1.0554322149947627e-07, -0.0010955337561024843], [-2.8744640457820777e-08, -1.6574592117543425e-07, 0.0017742545610404611], [0.0009181134345807355, -0.002323383543284942, -0.4644089627205166]];227;367;37;[[0.7531379711504822, 0.43124366924530694, 16.911694147361935], [-0.5019767421952637, 0.6437123024824741, 396.245222226259], [3.90981637224658e-05, -0.00011401631076022054, 1.0]];[[-1.2825711707105228e-07, -5.373611912171616e-09, 0.002604239472045604], [3.0594861644082106e-07, -1.8103659824301124e-07, 0.0001750498901170862], [-0.002459065889336931, 0.0014288017756977653, -0.540999827654224]];233;9;[[0.2535638475725248, 0.20153527684536565, 398.67327642176207], [-0.25552492262699766, 0.36287348311608525, 316.2686185046385], [-0.0002939846102319814, 2.7719817114879834e-06, 1.0]];[[1.0146514374457895e-06, 3.5271255317215476e-06, -0.0020877025634465553], [-2.352651398142004e-06, 1.2064173229335298e-06, 0.0017122968902764362], [0.00013657631442605446, -0.003368046320479151, 1.0]];229
10286.jpg;608;116;[[0.763635463202826, 0.48119908720864485, -122.4698324242906], [-0.5349609821241815, 0.6765473956367033, 494.72003257211827], [3.273870263391503e-05, -7.701079570827951e-05, 1.0]];[[1.6578234067912988e-07, 9.412461159093759e-08, -0.002295402272980306], [-2.766174497300592e-07, 1.8490100525115256e-07, -0.0001180526795394906], [0.0019905899210612174, -0.0013358336193603478, 0.9101670487232965]];228;172;[[0.8831616298614593, 0.012154124928555032, 154.81586104719764], [-0.09081874969849119, 0.8235529977732516, -59.64090785227257], [-1.977051622220958e-06, -8.272719846899292e-05, 1.0]];[[-3.378694099657543e-08, -3.8338834064712127e-07, -0.0018637074972933441], [1.5069295547650768e-07, -2.1784234138434326e-07, -0.0020027832630994556], [0.0023116427133180856, 0.0023600611290976363, -0.2141502837777387]];237;525;82;[[0.7624626623654225, 0.4700005741795493, -124.745915769475], [-0.5363821965197637, 0.6840757011460381, 492.2966182968897], [2.915294996006196e-05, -7.935731043568793e-05, 1.0]];[[-1.631757257300428e-07, -1.1651196578286587e-07, 0.002061477595242578], [2.492110499481085e-07, -2.653386250284783e-07, -0.0008848435852625258], [-0.0010854664324451493, 0.0021451737076221386, -1.1985166473674647]];234;195;[[0.8697305859753983, 0.014431269654457474, 161.76389254146056], [-0.09569744471340724, 0.8256949775047044, -53.794907501791066], [-8.613296292983614e-06, -7.475873598042467e-05, 0.9999999999999999]];[[-2.1857249799476612e-08, -3.5188316685589227e-07, 0.001528095065559888], [4.952522198321293e-07, 9.55529396480123e-08, 0.0010427632418454499], [-0.0019246058780991258, -0.0013209771078535612, 0.247392120270979]];231;344;22;[[0.7501317436971314, 0.5067958311382629, -124.96658351402016], [-0.5436407415904104, 0.7142995082004032, 490.2503545246316], [6.231344509355692e-06, -3.005495844758723e-05, 1.0]];[[-3.887316027637505e-06, -5.358229153267347e-06, 0.005250857110628232], [5.167146042497385e-06, -3.784094836954672e-06, 9.15317212763873e-05], [-0.0011315808685479663, 0.004194085289222211, -2.20198057326389]];242;134;[[0.8688069461200628, 0.0031809095837333078, 169.17405750052924], [-0.09462404875663645, 0.8217459694658598, -55.48161726635228], [-6.969405196984732e-06, -8.309677376078951e-05, 1.0]];[[-5.0775922480588004e-08, -3.438534715799269e-07, -0.0007580271309049959], [2.786598194002728e-07, 1.474521648538719e-07, 0.0012456134017874078], [0.0006979803380552405, -0.0016173412467774364, -0.20837230026533016]];244
10307.jpg;557;126;[[0.774385933103845, 0.4972479666717096, 54.1606187619033], [-0.5349154613033975, 0.6874653980210513, 429.70956544851924], [4.137224419528462e-05, -7.196218568836657e-05, 1.0]];[[6.098471187094288e-08, -9.198679974090714e-08, -0.0023547989858382274], [-1.1114109916549464e-07, 3.3078339205418234e-08, -0.000495713432736392], [0.002371075217683884, -0.0009942069263407418, 0.31123078411138794]];224;304;[[0.8843841506830646, 0.007584248826320893, 335.4454516880741], [-0.09505182012475936, 0.8297145802227901, -117.90347081400985], [3.182640044109806e-06, -8.722464197712413e-05, 1.0]];[[-8.68707271701807e-08, -8.605088659047587e-07, -0.001713448392987312], [6.465950613298845e-07, 1.7995229746705286e-08, 0.0002445484326614718], [0.0017874451598546355, -0.0006404739468575179, -0.6757840889570697]];232;528;83;[[0.795362200293561, 0.4714223731448961, 45.85279233505143], [-0.5286847103747929, 0.6852627022281219, 428.29164923523365], [5.124336901396326e-05, -8.664788319366879e-05, 1.0]];[[-1.56371366700997e-07, -5.308492173951796e-08, 0.0020190518315229616], [2.3050369070153113e-07, -2.8553223253617475e-07, -0.000999574670653328], [-0.0009982349190240693, 0.00219711233672027, -0.8905431795725501]];263;203;[[0.8886844361012128, -0.015397770892907557, 339.5372202445998], [-0.08924440460708262, 0.8107847617668109, -109.72922079447413], [6.8627254067574435e-06, -9.66662914827659e-05, 1.0]];[[2.835040666877791e-08, 2.6870532169503945e-07, -0.0001661820226455122], [-2.489962598278567e-07, 2.978442190342271e-07, 0.002576587752235826], [-0.00010046907958160634, -0.0030679817043262666, -0.30028696330781046]];260;319;36;[[0.8131388669467107, 0.4885205872763995, 39.40298573550655], [-0.539877572849318, 0.6921985495483648, 439.4430772878113], [6.119820784890945e-05, -8.185959423569893e-05, 1.0]];[[2.000959319544739e-06, 2.4452355250183174e-06, -0.004901634837712639], [-2.56430106135298e-06, 2.314333393372917e-06, 0.0041737535644311595], [-0.0001874664550424222, -0.006867961704569086, 3.0278535802463193]];274;90;[[0.9051183704889422, -0.01177948833729078, 336.91770740087514], [-0.08882555559363654, 0.8238175135900715, -116.01940965825631], [1.3942372904112762e-05, -9.553876488545107e-05, 1.0]];[[-3.5820852922506156e-08, -5.294303018886244e-07, -0.0010459061818616094], [3.6915002578079347e-07, 1.0188373305614333e-07, 0.000848910816746526], [0.0009888264476843886, -0.0012080208204878827, -0.47255362101155185]];272
10358.jpg;675;168;[[0.8002970910850297, 0.5136352171465519, -109.77235107350072], [-0.5468728605969073, 0.7153799952848616, 435.9626234625806], [4.539217673887118e-05, -5.4537138788498573e-05, 1.0]];[[-1.8435624601835569e-07, -4.3758867245189445e-07, -0.001965179734351834], [2.573083072226898e-07, -2.414779857999136e-07, -0.0007493448417470631], [0.002346108739181109, -0.0004245385930860713, 0.45012522315768466]];260;331;[[0.9159692253862757, 0.027325765522795795, 175.26496160318823], [-0.09573119554647327, 0.851259228988735, -116.14549451498783], [1.6964756880302037e-05, -7.650526202962132e-05, 1.0]];[[-4.163223777194832e-08, 3.025310821064893e-08, 0.0019171447365111545], [1.329156427134995e-07, -1.1582739594579895e-07, -0.0014170610208489984], [-0.0018798834473377954, 0.0017180655771474663, 0.5174011652063]];263;664;113;[[0.8398485788704032, 0.48615254214773324, -123.55062907755921], [-0.5306008340756062, 0.7093674181011961, 430.4385018531356], [7.45133356974328e-05, -8.227784891417058e-05, 1.0]];[[-6.341248337755421e-07, -1.0466131861128341e-06, -0.00032843487049901646], [8.755543075917248e-07, -8.307612217477029e-07, -0.0020435737577893754], [0.0021459902742867396, 0.0019902327370634044, -0.5910272600436768]];233;320;[[0.9071285498373589, 0.0233702521681393, 175.71752392268132], [-0.09623095329683505, 0.8386130093719333, -105.82361817370068], [1.3315819517996201e-05, -7.966255464152395e-05, 1.0]];[[-1.3791120840252685e-07, -1.133255474572991e-06, 0.0013523405204829576], [1.1664263218400583e-06, 2.2017122737741282e-08, 0.0006853922877952897], [-0.0017109911614512372, -0.0009807741933996422, 0.19704822790633836]];256;532;94;[[0.824789546260671, 0.49802161351727525, -118.34394699041556], [-0.537934602253455, 0.7194057322805684, 428.2163130159946], [6.722710882934018e-05, -7.839667161868925e-05, 1.0]];[[1.8979933082347137e-07, 5.081152957235827e-07, 0.001581431435623567], [-2.6883639064366653e-07, 1.2971467529028344e-07, -0.000494784352522604], [-0.001218570128203867, 0.0013306829056806504, -0.7167738994234621]];228;207;[[0.907658291195859, 0.014724131640251052, 182.67959952896837], [-0.08988765163508002, 0.8324853531640573, -111.083920108298], [1.744856160506105e-05, -8.948844188693273e-05, 1.0]];[[4.8621613711997806e-08, 3.998775137187465e-08, -0.0022685355931391133], [-2.609275231128656e-07, 1.4659721686289649e-07, 0.0013859563877881853], [0.002327009986524897, -0.0017009179141777146, -0.6062099691980547]];243
10427.jpg;826;309;[[0.8358161698898258, 0.507856337303547, -249.82948714269187], [-0.5393370780692236, 0.7302247866336449, 507.0260795638899], [5.907197956842436e-05, -6.240080224387356e-05, 1.0]];[[-9.373456290986139e-08, 6.432718950070308e-08, 0.0020079842808177605], [1.0465356482500861e-07, -1.0429187363523442e-07, -0.0003791391996559198], [-0.0014174464624944923, 0.0015216615062320358, -1.1243081047980787]];262;408;[[0.9335723142148366, 0.034327380562511126, 43.36847490907672], [-0.10264870330047939, 0.8583980679734304, -31.532449896047826], [1.8215144747132738e-05, -7.218550919030938e-05, 1.0]];[[2.321344718704467e-08, -1.1523400274725466e-07, -0.0017728801298844132], [-3.324290425770576e-08, 8.105923190600048e-08, 0.0010265155345099048], [0.0017467892336003404, -0.0012708955189025574, -0.11065598901959872]];244;1009;346;[[0.8277709882905064, 0.5091621866221131, -250.87694523316412], [-0.5360555815887748, 0.7272398725873501, 506.9360014235854], [5.6320237318629e-05, -6.197902919308653e-05, 1.0]];[[3.8360280184924144e-07, 3.2059949201703654e-07, -0.0026868783726845943], [-4.882246264925598e-07, 3.4203537920512843e-07, -9.064776898613618e-06], [0.001992051643551305, -0.001683471203492244, 1.3530401146193454]];261;253;[[0.9203426254794858, 0.04645864234195295, 38.57352800482355], [-0.10598666484106038, 0.8589412431841573, -27.269181454879302], [1.2457438381171829e-05, -6.851227263855901e-05, 1.0]];[[-6.69633744005871e-08, -2.836939271160495e-07, 0.0023309614293737387], [4.2285331528306836e-07, -1.2356428724343784e-07, -0.001422956964650253], [-0.0023114394825088226, 0.001778270188578863, 0.1210632305802537]];233;595;143;[[0.8223436496670914, 0.5157754811674827, -247.7338863004612], [-0.5428262799753218, 0.7377115466186848, 504.3846032777385], [5.3125208700643644e-05, -5.8812834384443264e-05, 1.0]];[[-5.226556388835854e-07, -5.330635486266255e-07, 0.002577279842276658], [6.704766793920796e-07, -4.0099771509791063e-07, 0.0008431195019316205], [-0.002304889394468157, 0.0008880271259929138, -1.0223655249876538]];229;146;[[0.9348958555096808, 0.02301229009573481, 41.72032494713852], [-0.09345855946974667, 0.8408276706097448, -31.819697970505334], [2.834587654481557e-05, -9.351986705780664e-05, 1.0]];[[1.269123691413749e-07, 4.984608687522062e-07, -0.0025978539157877683], [-7.352923899676916e-07, 1.7934647266634802e-07, 0.0014328977429197932], [0.0026227672578736758, -0.0017535465649433256, -0.16588928985923368]];228
10430.jpg;839;304;[[0.82806596530371, 0.49730154577267965, -35.40824411321294], [-0.5279552484375633, 0.71772934693538, 373.14062362160166], [6.212848919492189e-05, -6.554081958102737e-05, 1.0]];[[-2.4302164122728185e-07, -1.3159345466243645e-07, 0.002301349264278855], [2.96494887396573e-07, -1.9813595668274055e-07, 0.00010345772947969586], [-0.001902955369918897, 0.0012558363790064972, -0.5354931974964696]];238;331;[[0.9287963937439427, 0.02953853795931398, 242.99044967970187], [-0.09900135953545539, 0.8502760577226136, -154.3258666085616], [2.7136334861866794e-05, -8.0132622650957e-05, 1.0]];[[7.716693842803705e-08, 1.9410957380958842e-07, -0.0020513791333303787], [-3.6543799974335126e-07, 1.3583330198489378e-07, 0.0014221797964790788], [0.0020534541579618542, -0.0016841074803064927, -0.754000473834378]];256;812;281;[[0.8098367101232582, 0.5021629684192317, -35.406974612684394], [-0.5291187794764731, 0.7178263595820384, 375.9020873025151], [5.017384374190867e-05, -5.89380834343451e-05, 1.0]];[[3.3536649621491324e-07, 2.646070805362393e-07, -0.002623006690009809], [-4.3723011410550483e-07, 3.279683339742196e-07, 0.0002704108816798146], [0.0018903930583201, -0.0018289024069391235, 0.7538654189804077]];258;418;[[0.9085662932878172, 0.04217843237900651, 238.80528484117636], [-0.10520465808371618, 0.8470094390568005, -144.45891436123372], [1.2113632075858119e-05, -7.015312815647114e-05, 1.0]];[[-2.0530338300873688e-08, 1.1002607117217013e-07, 0.0018490673075050837], [4.0305243803610396e-08, -8.844173599228009e-08, -0.0011271871359327555], [-0.0018365191521862178, 0.0014449628989130466, 0.6417430531483307]];231;678;151;[[0.8147715983766278, 0.515586416443161, -39.75113001178], [-0.5367900839305946, 0.736953263948338, 368.6074426163229], [5.186448030476293e-05, -5.323702059465546e-05, 1.0]];[[-9.278358890462578e-07, -1.0517072411110966e-06, 0.0034919710046052445], [1.2102921318220449e-06, -8.11979221234685e-07, 0.0003843964023504436], [-0.0026489767504463252, 0.0017337212874369164, -0.7430240345066337]];246;157;[[0.913515894121255, 0.034187858926699066, 241.17305352198662], [-0.09724204173039296, 0.837551737933134, -147.65316306527583], [2.061206229737777e-05, -8.158896953000526e-05, 1.0]];[[-4.5429835388830085e-08, -6.604399415598383e-07, -0.001448516101420775], [5.025699150680193e-07, 1.9579420971944576e-08, 0.000650759959495499], [0.0013685738959943444, -0.0010095065102919693, -0.4702748034203874]];232
